Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,null,null,null,null,null,null
2018-04-26,92.349998,92.750000,91.500000,92.400002,90.347771,7238700
2018-04-27,92.250000,92.699997,92.000000,92.599998,90.543327,3294590
2018-04-30,92.699997,93.400002,92.400002,93.099998,91.032219,5017723
2018-05-02,92.000000,93.000000,92.000000,92.550003,90.494438,4316780
2018-05-03,92.199997,92.199997,91.550003,91.900002,89.858871,4454559
2018-05-04,91.500000,92.949997,91.050003,91.250000,89.223312,3628477
2018-05-07,91.000000,91.500000,90.500000,90.949997,88.929970,3376268
2018-05-08,90.849998,91.750000,90.800003,91.599998,89.565536,3725096
2018-05-09,91.599998,91.949997,91.300003,91.800003,89.761101,2471592
2018-05-10,92.150002,92.449997,91.599998,91.650002,89.614426,4100142
2018-05-11,92.300003,93.000000,92.300003,92.349998,90.298874,5750706
2018-05-14,93.400002,93.449997,92.900002,93.199997,91.129997,5910133
2018-05-15,91.599998,91.599998,90.000000,90.000000,90.000000,6799632
2018-05-16,90.000000,90.199997,89.099998,89.750000,89.750000,5434499
2018-05-17,90.449997,90.449997,88.750000,89.050003,89.050003,5372431
2018-05-18,89.349998,89.349998,88.300003,88.750000,88.750000,6276790
2018-05-21,88.599998,89.500000,88.599998,88.800003,88.800003,4804297
2018-05-23,88.699997,88.800003,88.300003,88.300003,88.300003,6565438
2018-05-24,88.900002,89.500000,88.000000,89.449997,89.449997,8291334
2018-05-25,89.849998,89.849998,89.000000,89.500000,89.500000,4584342
