Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,null,null,null,null,null,null
2018-04-26,25.200001,25.400000,25.049999,25.400000,25.400000,3715504
2018-04-27,25.299999,25.650000,25.049999,25.500000,25.500000,4660250
2018-04-30,25.799999,26.250000,25.600000,26.250000,26.250000,5273348
2018-05-02,25.799999,26.150000,25.250000,25.850000,25.850000,6203476
2018-05-03,25.900000,25.900000,25.400000,25.500000,25.500000,3521179
2018-05-04,25.400000,25.700001,25.000000,25.049999,25.049999,3885700
2018-05-07,25.299999,25.299999,24.799999,25.200001,25.200001,2175012
2018-05-08,25.350000,25.400000,25.100000,25.400000,25.400000,3908663
2018-05-09,25.500000,25.700001,25.200001,25.350000,25.350000,4000841
2018-05-10,25.549999,25.549999,25.150000,25.250000,25.250000,3746304
2018-05-11,25.500000,26.000000,25.200001,25.750000,25.750000,6314464
2018-05-14,26.049999,26.150000,25.700001,25.850000,25.850000,4078050
2018-05-15,26.200001,26.299999,25.900000,26.100000,26.100000,5934040
2018-05-16,26.150000,26.150000,25.850000,26.000000,26.000000,4600659
2018-05-17,25.950001,26.150000,25.700001,25.900000,25.900000,3663380
2018-05-18,26.200001,26.200001,25.799999,25.950001,25.950001,4381924
2018-05-21,26.049999,26.100000,25.799999,25.950001,25.950001,3452269
2018-05-23,25.950001,26.000000,25.250000,25.450001,25.450001,4134599
2018-05-24,25.549999,25.600000,25.250000,25.450001,25.450001,3911498
2018-05-25,25.700001,25.900000,25.450001,25.750000,25.750000,2967380
