Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,null,null,null,null,null,null
2018-04-26,81.300003,81.349998,80.550003,80.750000,80.750000,1959906
2018-04-27,81.150002,81.150002,80.650002,80.849998,80.849998,1106957
2018-04-30,81.000000,81.599998,80.949997,81.500000,81.500000,3824524
2018-05-02,80.800003,81.500000,80.800003,81.500000,81.500000,2502597
2018-05-03,80.949997,81.599998,80.900002,81.000000,81.000000,1948533
2018-05-04,80.900002,81.250000,80.400002,80.949997,80.949997,2057932
2018-05-07,80.949997,80.949997,80.349998,80.750000,80.750000,1290204
2018-05-08,81.050003,81.650002,80.550003,81.650002,81.650002,1735780
2018-05-09,81.750000,81.849998,81.250000,81.849998,81.849998,2281031
2018-05-10,82.150002,82.349998,81.699997,81.949997,81.949997,1987725
2018-05-11,82.349998,82.349998,81.900002,82.349998,82.349998,2076534
2018-05-14,82.650002,83.050003,82.250000,83.050003,83.050003,2696903
2018-05-15,82.550003,82.849998,81.750000,81.750000,81.750000,2178034
2018-05-16,81.650002,81.750000,80.949997,80.949997,80.949997,2161710
2018-05-17,81.650002,81.849998,80.800003,81.099998,81.099998,1638815
2018-05-18,81.400002,81.400002,80.699997,80.750000,80.750000,2160414
2018-05-21,81.349998,82.800003,81.199997,82.599998,82.599998,2797601
2018-05-23,82.849998,82.849998,81.650002,81.650002,81.650002,2090025
2018-05-24,82.199997,82.650002,81.250000,82.650002,82.650002,2552032
2018-05-25,82.699997,83.199997,82.099998,83.099998,83.099998,2673457
