Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,null,null,null,null,null,null
2018-04-26,77.599998,77.800003,76.699997,77.050003,76.951286,19719319
2018-04-27,77.300003,77.500000,77.000000,77.400002,77.300835,13514973
2018-04-30,77.900002,78.699997,77.699997,78.699997,78.599167,24138515
2018-05-02,78.199997,78.599998,77.800003,78.449997,78.349487,13978028
2018-05-03,77.300003,78.000000,77.150002,77.699997,77.600449,14845915
2018-05-04,77.050003,77.400002,74.849998,74.949997,74.853973,54745949
2018-05-07,75.400002,75.550003,75.000000,75.099998,75.003777,16621209
2018-05-08,75.449997,76.349998,75.449997,75.900002,75.802757,13424855
2018-05-09,75.699997,76.199997,75.599998,76.099998,76.002502,12025213
2018-05-10,76.699997,77.300003,76.699997,77.099998,77.001221,18504582
2018-05-11,77.900002,77.900002,77.300003,77.550003,77.450645,14165297
2018-05-14,78.050003,78.599998,78.000000,78.400002,78.299553,22374475
2018-05-15,78.550003,78.550003,77.699997,77.949997,77.850128,12231114
2018-05-16,77.949997,78.199997,77.750000,78.050003,77.950005,15046970
2018-05-17,77.400002,77.550003,76.800003,77.000000,77.000000,12627414
2018-05-18,77.000000,77.400002,76.699997,77.250000,77.250000,11878991
2018-05-21,77.500000,77.900002,77.500000,77.800003,77.800003,13576777
2018-05-23,78.250000,78.250000,77.500000,77.500000,77.500000,20176620
2018-05-24,77.500000,77.699997,76.949997,77.550003,77.550003,9395616
2018-05-25,76.900002,77.250000,76.800003,77.050003,77.050003,11488656
