Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,null,null,null,null,null,null
2018-04-26,16.160000,16.240000,16.160000,16.200001,16.200001,9942184
2018-04-27,16.160000,16.219999,16.160000,16.200001,16.200001,14280513
2018-04-30,16.240000,16.480000,16.200001,16.440001,16.440001,27633474
2018-05-02,16.280001,16.620001,16.280001,16.620001,16.620001,18028928
2018-05-03,16.400000,16.600000,16.360001,16.520000,16.520000,11923478
2018-05-04,16.580000,16.580000,16.459999,16.540001,16.540001,10134500
2018-05-07,16.480000,16.580000,16.480000,16.559999,16.559999,6515342
2018-05-08,16.520000,16.600000,16.520000,16.600000,16.600000,10878936
2018-05-09,16.600000,16.620001,16.559999,16.620001,16.620001,8458320
2018-05-10,16.620001,16.780001,16.600000,16.680000,16.680000,12181439
2018-05-11,16.780001,16.840000,16.680000,16.840000,16.840000,12649516
2018-05-14,16.980000,17.180000,16.879999,17.180000,17.180000,19711899
2018-05-15,17.180000,17.200001,17.040001,17.040001,17.040001,8542503
2018-05-16,16.980000,17.040001,16.879999,16.920000,16.920000,10724383
2018-05-17,17.100000,17.100000,16.940001,16.980000,16.980000,8772506
2018-05-18,16.940001,17.020000,16.940001,17.020000,17.020000,10661146
2018-05-21,17.040001,17.200001,17.040001,17.139999,17.139999,20059361
2018-05-23,17.100000,17.120001,16.959999,16.959999,16.959999,20731778
2018-05-24,16.959999,17.080000,16.920000,17.059999,17.059999,12173300
2018-05-25,17.040001,17.160000,17.000000,17.080000,17.080000,12282059
